gloss,spoken
"병원 다음 내리다 ? > 병원 지나서 내려드릴까요?
에어컨 불량 잘 안되다 ? > ",에어컨이 안되나요?
"버스 곳 맞다 > 버스정류장에서 내려주세요.
마포대교 가다 ? > ",마포대교로 건너가드릴까요?
"단말기터치 고장 잘 안되다 > 카드 인식이 안되네요.
지하철 빨리 오다오다 > ",이번 열차는 급행 열차입니다.
"사람 계산 틀리다 ? > 인원 수가 맞지 않나요?
안전벨트 > ",안전벨트를 매주세요.
"대로 다음 차내리다 > 큰 길 지나서 내려주세요.
기분 좋다 > ",아 기분이 좋다
"스타벅스 전 곳 도착 내리다 > 스타벅스 못가서 내려주세요.
종로 가다 > ",종로역입니다.
"카드 고장 잘 안되다 > 카드 인식이 안되네요.
터널 다음 곳 > ",터널 지나서 내려주세요.
"춥다 끄다 ? > 에어컨을 꺼드릴까요?
교통 법 지키다 > ",교통법규를 지키다
"우회전 확인 맞다 > 우회전이 맞습니다.
학교 주차 되다 ? > ",학교에 주차할 수 있나요?
"고속터미널 내리다 가다 > 고속버스터미널로 가주세요.
건너다 차내리다 ? > ",건너편에서 내려드릴까요?
"학교 저기 가다 > 학교로 들어가주세요.
타다 곳 맞다 ? > ",타는 곳이 맞나요?
"기다리다 -봐 > 기다려봐
회의실 무엇 곳 ? > ",회의실은 어디에 있나요?
"에어컨 ? > 에어컨 좀 켜드릴까요?
시계 사라지다 실종 > ",시계를 분실하였습니다.
"대로 다음 여기 ? > 큰 길 지나서 내려드릴까요?
버스 전 곳 보다 차내리다 > ",버스정류장 못가서 내려주세요.
"경찰 전화걸다 > 경찰을 부르세요.
도착 알려받다 > ",도착하면 알려주세요.
"우산 잃어버리다 실종 ? > 우산을 잃어버리셨나요?
서울역 가다 내리다 > ",서울역으로 가주세요.
"나 말 듣다 아니다 왜 ? > 왜 내 말을 듣지 않아?
도착 > ",도착했습니다.
"심심하다 무엇 ? > 심심할때 무엇을 하면 좋을까?
지갑 없다 잃어버리다 ? > ",지갑을 분실하셨나요?
"사거리 다음 내리다 ? > 사거리 지나서 내려드릴까요?
반갑다 > ",반갑다
"곳곳 ? > 어디요?
기차 곳 맞다 ? > ",기차역에서 내려드릴까요?
"은행 곳 길 ? > 은행은 어디에 있나요?
택시 여기 되다 ? > ",여기서 택시를 탈 수 있나요?
"남자 불편 어색 > 이상하게 유독 그가 불편하다
도착 알려받다 가능 ? > ",도착하면 알려주실 수 있나요?
"바쁘다 > 바쁘다
서울농아인협회 차내리다 > ",서울농아인협회로 가주세요.
"길 안내하다 도와주다 ? > 길 찾는 것 좀 도와드릴까요?
돈 얼마 맞다 확인 ? > ",요금을 확인하셨어요?
"맡다 > 맡다
괜찮다 ? > ",괜찮으세요?
"보다 > 보다
이마트 저기 곳 다음 저기 > ",이마트 지나서 내려주세요.
"여기 차내리다 맞다 ? > 여기서 내려드릴까요?
집 크다 놀라다 > ",집이 커서 놀라웠다
"차 뒤 엉덩이 들어올리다 ? > 트렁크 좀 열어드릴까요?
자판기 안되다 죽다 > ",자판기가 안되네요.
"생각 -보다 사람 많다 > 생각보다 사람이 많이 왔네
카드 단말기터치 다시 해보다 > ",카드를 다시 대세요.
"춥다 끄다 > 에어컨 좀 꺼주세요.
미안 > ",죄송합니다.
"계산 남다 돈받다 > 잔돈주세요.
손바닥찍다 가다 내리다 ? > ",이 주소로 갈까요?
"난방 끄다 > 에어컨을 꺼주세요.
편지 저기 곳 다음 내리다 > ",우체국 지나서 내려주세요.
"보건소 곳 다음 차내리다 > 보건소 지나서 내려주세요.
사거리 우회전 > ",사거리에서 우회전 해주세요.
"저기 내리다 맞다 > 저기서 내려주세요.
싫다 무엇 야채 > ",내가 싫어하는 음식은 야채다
"명동 가다 > 명동역으로 가주세요.
항공 가다 검사 곳 ? > ",탑승수속은 어디에서 하나요?
"택시 어디 ? > 택시 승강장은 어디에 있습니까?
지금 내리다 맞다 ? > ",지금 내려드릴까요?
"이웃 집 불 > 옆집에 불이 났어요.
은행 저기 곳 다음 차내리다 ? > ",은행 지나서 내려드릴까요?
"한국농아인협회 내리다 > 한국농아인협회로 가주세요.
대로 다음 내리다 > ",큰 길 지나서 내려주세요.
"역무원 부르다 ? > 역무원을 불러드릴까요?
미리 카드 > ",선승인하겠습니다.
"간섭 싫다 > 날 간섭하는 것이 싫다
이마트 곳 저기 다음 > ",이마트 지나서 내려주세요.
"지하철 문 여기 번호 ? > 몇 번에서 타면 되나요?
아파트 저기 가다 > ",아파트 단지 안으로 가주세요.
"보건소 곳 다음 여기 > 보건소 지나서 내려주세요.
빨리 시작 > ",빨리 시작하자
"저기 나 가지다 괜찮다 ? > 이거 내가 가져도 될까?
숙제 잊다 > ",숙제가 무엇인지 잊어버렸다
"칭찬 듣다 기분 좋다 > 칭찬을 들었더니 기분이 좋다
핸드폰 잃어버리다 > ",휴대폰을 잃어버렸습니다.
"유턴 맞다 ? > 유턴 맞으시죠?
슬프다 > ",아 슬프다
"올리다 > 창문 좀 닫겠습니다.
내리다 시간 알려주다 ? > ",내릴 때 알려드릴까요?
"카드 찾다 실종 > 카드를 잃어버렸습니다.
누가 잡다 > ",어떤 사람한테 납치당했어요.
"한국 안 착륙 어디 ? > 국내선 입국장이 어디에 있습니까?
도착 알려받다 ? > ",도착하면 알려주시나요?
"오다 > 오다
지름길 내리다 가다 > ",지름길로 가주세요.
"무릎 인대 상처 > 무릎 인대를 다친 것 같아요.
노트북 찾다 실종 > ",노트북을 잃어버렸습니다.
"지하철 철로 가방 떨어지다 > 선로에 가방을 떨어뜨렸습니다.
있다 > ",있다
"유턴 맞다 > 유턴 맞습니다.
핸드폰 실종 잃어버리다 > ",휴대폰을 잃어버렸습니다.
"차 내리다 ? > 창문을 열어드릴까요?
백화점 다음 곳 저기 내리다 > ",백화점 지나서 내려주세요.
"카드 가능 ? > 카드 결제 되나요?
비자 책 없다 방법 ? > ",여권이 없습니다. 어떻게 하나요?
"열쇠 잃어버리다 ? > 열쇠를 잃어버리셨나요?
뒤 쫓아오다 느낌 > ",쫓아오는 것 같아요.
"공부 > 공부가 가장 쉬웠어요
돈 ? > ",현금이세요?
"택시 기본 만원 ? > 기본 요금이 만원인가요?
좋다 ? > ",좋으세요?
"언덕 저기 곳 다음 도착 차내리다 > 언덕 지나서 내려주세요.
물건 검사 두다 곳 어디 ? > ",코인로커가 어디에 있습니까?
"샛길 저기 다음 도착 내리다 > 골목 지나서 내려주세요.
어린이집 주차 되다 ? > ",어린이집에 주차할 수 있나요?
"여의도 길 무엇 ? > 여의도로 가려면 어떻게 가나요?
기차 곳 내리다 맞다 > ",기차역에서 내려주세요.
"손바닥찍다 가다 > 이 주소로 가주세요.
좋다 방법 있다 아마 > ",좋은 방법이 있을거야
"종로 목적 가다 무엇 ? > 종로로 가려면 어떻게 가나요?
제주 홍보 곳 어디 ? > ",제주 홍보관은 어디입니까?
"공기청정기 사용 불가능 불량 > 공기청정기가 안되네요.
1호 > ",1호선입니다.
"나 덥다 날 싫다 > 나는 더운 날씨가 딱 질색이다
시청 차내리다 오케이 ? > ",시청에서 내려드릴까요?
"편지 저기 곳 다음 ? > 우체국 지나서 내려드릴까요?
우산 없다 잃어버리다 ? > ",우산을 잃어버리셨나요?
"버스 곳 ? > 시내버스 승강장은 어디에 있습니까?
세금 공짜 어디 곳 ? > ",면세점은 어디에 있습니까?
"서울농아인협회 가다 > 서울농아인협회로 가주세요.
여기 차내리다 맞다 ? > ",여기서 내려드릴까요?
"감사 > 감사
나 너 -보다 키크다 > ",내가 너보다 더 커
"먹다 음식 베다 > 음식을 하다가 손가락을 칼에 베였어요.
저기 내리다 맞다 > ",저기서 내려주세요.
"카드 없다 실종 > 카드를 잃어버렸습니다.
일 없다 심심하다 > ",할 일이 없어서 심심하다
"도착 10분 전 > 10분 내로 도착합니다.
여의도 가다 무엇 ? > ",여의도로 가려면 어떻게 가나요?
"물품보관 안되다 ? > 물품보관함이 안되나요?
안내소 곳 ? > ",안내소는 어디에 있나요?
"충분하다 ? > 만족하세요?
물 강 빠르다 서다 넘어지다 > ",급류에 친구가 휩쓸렸어요.
"샛길 저기 가다 > 골목으로 들어가주세요.
주차 2번 어디 곳 ? > ",제2 주차장은 어디에 있습니까?
"보건소 곳 다음 내리다 ? > 보건소 지나서 내려드릴까요?
우산 찾다 실종 > ",우산을 분실하였습니다.
"카드 사용 잘 안되다 > 카드 인식이 안되네요.
유리 올리다 ? > ",창문을 닫아드릴까요?
"에어컨 불량 안되다 ? > 에어컨이 안되나요?
사랑 사람 잊다 쉽다 어렵다 > ",사랑했던 사람을 잊는건 어렵다
"서대문농아인복지관 차내리다 > 서대문농아인복지관으로 가주세요.
생각 > ",생각이 달라서 많이 싸웠다
"의자 무엇 ? > 의자는 어디에 있나요?
커피 곳 어디 ? > ",커피숍은 어디에 있습니까?
"지하철 곳 편의점 있다 ? > 역사 안에 편의점이 있나요?
1호 첫차 시간 ? > ",1호선 첫차는 몇 시인가요?
"좌회전 맞다 > 좌회전이 맞습니다.
확인 > ",확인하겠습니다.
"여기 갈아타다 맞다 > 여기서 갈아타는 것이 맞습니다.
열쇠 사라지다 실종 ? > ",열쇠를 잃어버리셨나요?
"편의점 어디 ? > 편의점은 어디에 있습니까?
차 뒤 들어올리다 > ",트렁크 좀 열어주세요.
"보건소 곳 다음 차내리다 ? > 보건소 지나서 내려드릴까요?
여기 내리다 맞다 > ",여기서 내려주세요.
"지금 움직이다 괜찮다 ? > 이제 움직여도 됩니까?
기분 나쁘다 > ",기분나빠
"하나 물어보다 > 한가지만 더 물어보자
지하철 곳 다음 차내리다 ? > ",지하철역 지나서 내려드릴까요?
"청음회관 곳 > 청음회관으로 가주세요.
터널 다음 도착 내리다 ? > ",터널 지나서 내려드릴까요?
"파리바게트 다음 저기 내리다 > 파리바게트 지나서 내려주세요.
주차 1번 곳 ? > ",제1 주차장은 어디에 있습니까?
"시계 없다 실종 > 시계를 분실하였습니다.
청음회관 가다 > ",청음회관으로 가주세요.
"아이 없다 실종 ? > 아이를 잃어버리셨나요?
엘리베이터 잘 안되다 사용 불가능 > ",엘리베이터가 안되네요.
"은행 어디 곳 ? > 은행은 어디에 있습니까?
택시 전 곳 도착 차내리다 > ",택시정류장 못가서 내려주세요.
"우산 잃어버리다 ? > 우산을 잃어버리셨나요?
잠깐 기다리다 > ",잠시만 기다려주세요.
"부모 나 함께 살다 -중 > 부모님과 함께 살고 있다
안내소 무엇 ? > ",안내소는 어디에 있나요?
"나사렛 전 도착 내리다 > 나사렛대학교 못가서 내려주세요.
동시에 > ",동시에
"햄버거 어디 ? > 패스트푸드는 어디에 있습니까?
지방 버스 어디 곳 ? > ",시외버스 승강장은 어디에 있습니까?
"에어컨 사용 안되다 고장 ? > 에어컨이 안되나요?
열쇠 사라지다 실종 > ",열쇠를 잃어버렸습니다.
"여기 차내리다 맞다 > 여기서 내려주세요.
새롭다 채소 나다 > ",새싹이 나다
"헤어지다 > 헤어지다
계산 남다 돈주다 ? > ",잔돈드릴까요?
"파리바게트 다음 저기 곳 > 파리바게트 지나서 내려주세요.
뒤 들어올리다 > ",트렁크 좀 열어주세요.
"자판기 고장 죽다 > 자판기가 안되네요.
너 때문에 못하다 > ",너 때문에 못했잖아
"단말기터치 사용 안되다 ? > 카드 인식이 안되나요?
경찰 저기 곳 다음 차내리다 > ",경찰서 지나서 내려주세요.
"응급실 내리다 > 응급실로 가주세요.
편지 곳 ? > ",우체국은 어디에 있습니까?
"화나다 > 화났습니다.
3 찾다 곳 방법 ? > ",3번 출구로 나가려면 어떻게 가나요?
"장애인복지카드 > 장애인 복지 카드입니다.
한국농아인협회 목적 > ",한국농아인협회로 가주세요.
"편의점 곳 ? > 편의점은 어디에 있습니까?
내일 괜찮다 아마 > ",내일이면 괜찮겠지
"도착 몇분 ? > 도착하려면 몇 분 남았을까요?
언니 발 너무 작다 > ",언니는 발이 유난히 작다
"파리바게트 다음 곳 저기 > 파리바게트 지나서 내려주세요.
유턴 맞다 > ",유턴 맞습니다.
"수화물 ? > 수하물을 분실하였습니다. 어떻게 하나요?
저기 맞다 > ",저기서 내려주세요.
"지하철 곳 다음 내리다 ? > 지하철역 지나서 내려드릴까요?
지름길 내리다 가다 ? > ",지름길로 갈까요?
"일본 먹다 곳 ? > 일식집이 어디에 있습니까?
종로 가다 방법 ? > ",종로역으로 어떻게 가나요?
"에어컨 고장 잘 안되다 ? > 에어컨이 안되나요?
지하철 빨리 오다오다 ? > ",이번 열차는 급행 열차인가요?
"공항 목적 가다 ? > 김포공항으로 갈까요?
신분증 ? > ",주민등록증 있으세요?
"행복 > 행복
도착 10분 ? > ",10분 뒤에 도착하나요?
"공기청정기 안되다 불량 > 공기청정기가 안되네요.
알다 ? > ",아시겠죠?
"카드 사용 불가능 고장 ? > 카드 인식이 안되나요?
공기청정기 사용 안되다 불량 > ",공기청정기가 안되네요.
"지갑 잃어버리다 없다 > 지갑을 잃어버렸습니다.
고속터미널 도착 가다 > ",고속버스터미널로 가주세요.
"바다 배 길 실종 > 바다에서 조난을 당했어요.
수레 빌리다 어디 ? > ",휠체어 대여소가 어디에 있습니까?
"좌회전 확인 맞다 > 좌회전이 맞습니다.
병원 다음 차내리다 > ",병원 지나서 내려주세요.
"엘리베이터 곳 ? > 엘리베이터는 어디에 있나요?
한국농아인협회 가다 ? > ",한국농아인협회에서 내려드릴까요?
"신호등 횡단보도 건너다 > 횡단보도 지나서 내려주세요.
신호등 전 차내리다 > ",신호등 못가서 내려주세요.
"항공 ? > 항공사 카운터는 어디에 있습니까?
미래 무엇 하다 ? > ",이따 뭐할까?
"샛길 가다 > 골목으로 들어가주세요.
청소 깨끗하다 약속 > ",깨끗하게 청소해라
"아이 실종 > 아이를 잃어버렸습니다.
보건소 곳 다음 여기 ? > ",보건소 지나서 내려드릴까요?
"회사 다니다 -중 > 회사를 다니고 있어
카드 실종 잃어버리다 ? > ",카드를 분실하셨나요?
"3 찾다 길 무엇 ? > 3번 출구로 나가려면 어떻게 가나요?
손 들다 움직이다 쏘다 > ",꼼짝말고 손들어 움직이면 쏜다
"아이 찾다 실종 > 아이를 잃어버렸습니다.
원래 ? > ",원래 그런가요?
"노트북 없다 잃어버리다 > 노트북을 잃어버렸습니다.
운전 빨리 > ",빨리 가주세요.
"당신 > 당신입니다.
좌회전 확인 맞다 ? > ",좌회전 해드릴까요?
"버스 곳 차내리다 맞다 ? > 버스정류장에서 내려드릴까요?
누구 ? > ",누구요?
"지하철 갈아타다 몇호 ? > 몇 호선으로 갈아타야 하나요?
학교 보다 차내리다 ? > ",학교가 보이면 내려드릴까요?
"버스 번호 ? > 몇 번 버스인가요?
노트북 잃어버리다 실종 > ",노트북을 잃어버렸습니다.
"지금 카드 충전 가능 ? > 지금 카드를 충전할 수 있나요?
시간 지연되다 > ",지연되었습니다.
"손바닥찍다 차내리다 가다 ? > 이 주소로 갈까요?
카페 곳 어디 ? > ",커피숍은 어디에 있습니까?
"신호등 다음 차내리다 ? > 저기 신호등 건너서 세워드릴까요?
건너다 차내리다 > ",건너편에서 내려주세요.
"차밀리다 괜찮다 ? > 차가 막히는데, 괜찮으세요?
은행 저기 곳 다음 도착 차내리다 > ",은행 지나서 내려주세요.
"시험 어렵다 > 시험이 어려웠다
계단 무엇 ? > ",계단은 어디에 있나요?
"자판기 불량 ? > 자판기가 안되나요?
우회전 맞다 > ",우회전이 맞습니다.
"아이 잃어버리다 ? > 아이를 잃어버리셨나요?
1호 맞다 > ",1호선이 맞습니다.
"서대문농아인복지관 가다 > 서대문농아인복지관으로 가주세요.
청음회관 목적 > ",청음회관으로 가주세요.
"무엇 일 나다 맞다 > 무슨 일이 생긴건 아니야
방 따뜻하다 기분 좋다 > ",방이 너무 따뜻해서 기분이 좋다
"돈 바꾸다 곳 어디 ? > 환전은 어디서 하나요?
누가 칼 가지다 > ",어떤 사람이 무기/흉기를 소지하고 있어요.
"좌회전 맞다 ? > 좌회전 맞으시죠?
날 좋다 > ",날씨가 좋다
"119 곳 다음 차내리다 > 소방서 지나서 내려주세요.
자유 살다 > ",자유를 누리다
"왜 ? > 왜요?
영수증 받다 > ",영수증을 주세요.
"육교 곳 다음 여기 ? > 육교 지나서 내려드릴까요?
차밀리다 심하다 > ",차가 막힙니다.
"시청 오케이 ? > 시청에서 내려드릴까요?
크다 > ",크다
"명동 곳 ? > 명동역으로 갈까요?
자판기 사용 불가능 > ",자판기가 안되네요.
"지름길 차내리다 > 골목 들어가서 세워주세요.
책 어디 ? > ",서점은 어디에 있습니까?
"서울역 차내리다 가다 > 서울역으로 가주세요.
시계 잃어버리다 > ",시계를 분실하였습니다.
"아프다 > 아프다
귀찮다 말하다 일 하다 > ",귀찮다면서 할건 다하네
"만나다 반갑다 > 만나서 반갑습니다.
병원 저기 다음 곳 > ",병원 지나서 내려주세요.
"은행 무엇 길 ? > 은행은 어디에 있나요?
카드 고장 안되다 ? > ",카드 인식이 안되나요?
"우산 사라지다 실종 > 우산을 분실하였습니다.
서울농아인협회 내리다 ? > ",서울농아인협회에서 내려드릴까요?
"버스 전 곳 저기 차내리다 > 버스정류장 못가서 내려주세요.
아이 잃어버리다 > ",아이를 잃어버렸습니다.
"처음 가다 먹다 괜찮다 > 처음 가본 그 집 음식맛이 괜찮았다
벌 크다 침 팔 주사 > ",말벌에게 쏘였어요.
"카드 1회 > 1회용 카드입니다.
유턴 맞다 ? > ",유턴 해드릴까요?
"한국 안 이륙 어디 ? > 국내선 출국장이 어디에 있습니까?
다니다 > ",다니다
"신호등 곳 차내리다 > 저기 신호등 앞에 세워주세요.
지하철 곳 명동 맞다 > ",명동역이 맞습니다.
"공항 차내리다 가다 ? > 김포공항으로 갈까요?
택시 문자보내다 나 > ",제가 콜을 불렀습니다.
"우회전 맞다 ? > 우회전 해드릴까요?
여기 차내리다 맞다 ? > ",여기서 내려드릴까요?
"손바닥찍다 내리다 > 이 주소로 가주세요.
얼굴 붓다 귀엽다 > ",얼굴에 살이 오르니 귀여워 보인다
"지하철 곳 카페 있다 > 역사 안에 커피숍이 있습니다.
미안합니다 > ",죄송합니다.
"낳다 > 낳다
나사렛 내리다 가다 ? > ",나사렛대학교로 갈까요?
"지갑 실종 잃어버리다 > 지갑을 잃어버렸습니다.
차 빌리다 어디 ? > ",렌트카를 빌리는 곳은 어디에 있습니까?
"보청기 실종 > 보청기를 잃어버렸습니다.
열쇠 찾다 실종 ? > ",열쇠를 잃어버리셨나요?
"포기 하지마 > 포기하지마
쓰다 저장 기억 가능 > ",메모해야 기억하기 쉽다
"사거리 다음 도착 차내리다 > 사거리 지나서 내려주세요.
일 많다 혼자 불가능 > ",이 많은 일을 혼자서 맡는건 불가능해
"기차 곳 맞다 > 기차역에서 내려주세요.
따뜻하다 끄다 ? > ",히터를 꺼드릴까요?
"아이 잃어버리다 실종 > 아이를 잃어버렸습니다.
우산 사라지다 실종 ? > ",우산을 잃어버리셨나요?
"포기 원하다 > 포기하고 싶다
손 크다 대단하다 > ",손이 정말 크다
"청음회관 차내리다 ? > 청음회관에서 내려드릴까요?
응급실 내리다 > ",응급실로 가주세요.
"마포대교 가다 > 마포대교로 건너가주세요.
좌회전 맞다 ? > ",좌회전 맞으시죠?
"나 가능 일 무엇 ? > 내가 할 수 있는 일이 뭐가 있을까?
건너다 차내리다 오케이 ? > ",건너편에서 내려드릴까요?
"백화점 곳 다음 보다 차내리다 > 백화점 지나서 내려주세요.
고속 돈주다 > ",고속도로 통행료를 내야 합니다.
"시청 차내리다 > 시청으로 가주세요.
은행 번호 필요 ? > ",계좌번호 알려드릴까요?
"힘들다 위로 원하다 > 너무 힘들어서 위로 받고 싶다
단말기터치 고장 죽다 ? > ",카드 인식이 안되나요?
"도착 아직 ? > 아직 도착 안 했나요?
와이파이 ? > ",와이파이 신청이 가능한가요?
"도착 1시 ? > 1시에 도착하나요?
점심 먹다 끝 > ",점심 먹었어
"상처 받다 미안 > 상처 받았다면 미안해
집 흔들리다 > ",집이 흔들려요.
"영수증 받다 > 영수증을 주세요.
백화점 다음 곳 저기 내리다 > ",백화점 지나서 내려주세요.
"카드 실종 ? > 카드를 분실하셨나요?
병원 다음 내리다 ? > ",병원 지나서 내려드릴까요?
"담배 어디 곳 ? > 흡연실은 어디에 있습니까?
나사렛 전 도착 차내리다 > ",나사렛대학교 못가서 내려주세요.
"나사렛 차내리다 가다 ? > 나사렛대학교로 갈까요?
자판기 길 ? > ",자판기는 어디에 있나요?
"카드 되다 ? > 카드도 되나요?
타다 > ",타다
"수고 > 수고하셨습니다.
항상 > ",늘 그렇습니다.
"지갑 잃어버리다 실종 > 지갑을 잃어버렸습니다.
신분당 곳 > ",신분당선을 타는 곳입니다.
"돈 없다 > 돈이 없다
나사렛 차내리다 가다 ? > ",나사렛대학교로 갈까요?
"단말기터치 다시 > 카드를 다시 대세요.
에어컨 사용 잘 안되다 ? > ",에어컨이 안되나요?
"있다 ? > 있나요?
명동 차내리다 ? > ",명동역으로 갈까요?
"학교 보다 차내리다 > 학교 좀 들렀다가주세요.
백화점 다음 곳 보다 내리다 > ",백화점 지나서 내려주세요.
"도착 1시간 전 ? > 1시간 내로 도착하나요?
지하철오다 아직 ? > ",열차가 아직 안 들어오나요?
"시청 내리다 오케이 ? > 시청에서 내려드릴까요?
도착 아직 > ",아직 도착 안 했습니다.
"오늘 하루 수고 > 오늘도 수고 많으셨습니다.
가방 없다 잃어버리다 > ",가방을 잃어버렸습니다.
"약 무엇 ? > 약국은 어디에 있나요?
엄마 헤어지다 슬프다 > ",엄마와 헤어지게 되어 슬펐다
"우회전 맞다 ? > 우회전 해드릴까요?
카드 ? > ",카드 결제 되나요?
"안되다 > 안 됩니다.
택시 전 저기 곳 차내리다 > ",택시정류장 못가서 내려주세요.
"한국농아인협회 가다 > 한국농아인협회로 가주세요.
지하철 곳 9호 > ",9호선 타는 곳입니다.
"열쇠 잃어버리다 > 열쇠를 잃어버렸습니다.
돈 바꾸다 어디 ? > ",환전은 어디서 하나요?
"버스 곳 다음 차내리다 ? > 버스정류장 지나서 내려드릴까요?
오늘 만나다 가능 > ",오늘 만날 수 있어
"항공 가다 검사 곳 어디 ? > 탑승수속은 어디에서 하나요?
너 오다 그렇다면 감사 > ",네가 와주면 고맙겠구나
"지름길 도착 가다 ? > 지름길로 갈까요?
1호 맞다 ? > ",1호선이 맞나요?
"아프다 참다 불가능 > 아파서 못 참을것 같아요.
카드 가능 > ",카드도 됩니다.
"차밀리다 > 차가 막힙니다.
가방 잃어버리다 실종 ? > ",가방을 분실하셨나요?
"대로 다음 도착 차내리다 ? > 큰 길 지나서 내려드릴까요?
손바닥찍다 가다 > ",이 주소로 가주세요.
"여기 맞다 > 여기가 맞습니다.
짐 차 트렁크열다 나르다 > ",트렁크에 짐을 넣겠습니다.
"지하철 가다 빨리 방법 ? > 어떻게 가는 것이 빠른가요?
기차 곳 내리다 맞다 > ",기차역에서 내려주세요.
