gloss,spoken,label,model/niasl-g2t,model/k3-g2t,model/k13-g2t,model/13k3k-g2t,model/my-g2t,model/niasltg-t2g,model/k3tg-t2g,model/k13tg-t2g,model/13k3ktg-t2g,model/mytg-t2g
알다 . 다음 또 만나다 ., 알았어요. 다음에 또 만나요.,0,다음에도 또 만날 가능성이 있습니다.,다음 역 만나서 이야기 합시다,다음에 또서 만나주세요.,다음에 또서 또 만나서 .,다음에 또 만날게,알다 다음 또 만나다 .,다음 만나 또 만나다,다음 또 또 만나다,다음 또 또 만나다,다음 또 만나다 .
당신 태어나다 날 언제 ?, 생일이 언제인가요?,1,[김특별취재팀] 「동창회」가 6일 11시 서울특별시 중구 신당동 소재 동아공고에서 개최됩니다.,당신은 태어나 되신건가요?,당신은 언제 생일이 언제야,당신의 생 언제입니까?,당신의 태어나 언제인가요?,생일이 언제 오늘 .,생일이 언제,태어나다 날 어느 시간,태어나다 날 어느 시간,생일 언제 언제 ?
8월 18일 ., 8월 18일이에요.,0,8월 18일 18일,8월 18일입니다.,8월 18일,8월 18일입니다.,8월 18일,8월18일 글 8월18일 .,8월 18일,8월 18일,8월 18일,8월 18일 있다 .
5월 15일 날 무엇 ?, 5월 15일은 무슨 날인가요?,1,5월 15일 15일,5월 15일인가요?,5월 15일 되나요?,5월 15일인가요?,5월 15일 날은 뭐에요?,5월15일 날 5월15일 날 .,5월 15일 날 무엇,5월 15일 날 무엇,5월 15일 날 무엇,5월 15일 무슨 날 ?
교사 날 ., 스승의 날이에요.,0,[행정특별자치도청],교사에게,교사가 날 .,교장이 날 .,교사의 날은 어디인가요?,스승 날 날 날 .,스승의다 날,스승 날다 날,스승 날다 날,스승 날 있다 .
7시 시작 ., 7시에 시작합니다.,0,7시부로 시작,7시부터 시작,7시 시작 시작합니다.,7시 시작 시작합니다.,7시부터 시작해,낮 7 7 시작 .,시작,시작 3시,시작 3시,시작 7시 7시 .
공부 시작 9시 끝 12시 ., 수업은 9시에 시작해서 12시에 끝납니다.,0,공부시간 9시~12시까지 합숙하여 공부합시다. 1교시 시작시간은 9시~12시,공부를 시작 9시까지 합시다,공부 시작은 9시부터 시작한다,공부 시작 9시 끝났다,공부 시작 9시 끝나고 12시에 시작해요,수업 시간 9시 시작 낮 12시 끝 .,수업 시작 12,학교 공부 9 시작 12,학교 공부 시작 12,수업 9시 9시 시작 12 내리다 .
오늘 봄 비 ., 오늘은 봄비가 내리고 있어요.,0,오늘 봄부터 비가 점차 그쳐 평년보다 조금 높겠습니다.,오늘 비가,봄이 비가 왔어요.,오늘은 비가이,오늘은 봄 비야.,오늘 비내리다 왜 오늘 비내리다 중 .,오늘 봄 비,오늘 봄비 흐리다,오늘 봄비,오늘 봄비 내리다 .
비 멈추다 날씨 따뜻하다 아마 ., 비가 그치면 날씨가 따뜻해질 겁니다.,0,장마전선에서 점차 벗어나겠습니다.,비가 올면 따뜻하다,비가 멈면 온 날씨가 따뜻할거야,비가 멈추면 온 날씨가 따뜻하다,비가 멈추면 날씨가 따뜻할거야,비내리다 그치다 날 따뜻하다 .,비 그 날  따뜻하다  가능,비 그때 날 따뜻하다 되다,비 그다 날 따뜻하다하다하다,비 그치다 날씨 따뜻하다 되다 .
며칠 기다리다 꽃피다 오다 아마 ?, 며칠 있으면 꽃이 피겠군요?,1,꽃피피가 지연되고 있습니다. 며칠 기다리면 결과가 나오겠습니다.,며칠 기다 왔는데 그렇게 빨리 와?,며칠 기다 꽃피우면 온거야,며칠 기다 꽃을피우면 아마 ?,며칠을 꽃피운 거야?,며칠 며칠 며칠 며칠 꽃 피다 .,오늘 밤 꽃 피다,며칠 있다 꽃 피다,며칠 있으면 꽃 피다,며칠 있다 꽃 피다 ?
나 봄 노랗다 꽃 좋아하다 ., 나는 봄에 피는 개나리를 좋아합니다.,0,봄꽃이 만개하였습니다.,봄이 되면 꽃을 좋아하다,나는 봄 꽃을 좋아한다,나는 봄랗게 꽃을 좋아한다,나는 봄의 노랗고 꽃들을 좋아해.,봄 피 피다 개나리 꽃 .,나 봄 봄 피다 개나리 좋아하다,계절 하다 개나리 좋다,계절  날다 꽃  개나리 좋다,나 봄 피다 개나리 좋아하다 .
좋다 계절 무엇 ?, 어떤 계절을 좋아하나요?,1,현재 가장 좋음 : 5.8.(화),좋다,좋은 계절이 뭐야,좋은 계절이 있나요?,좋은 계절 뭐야?,어떤 계절을 좋아하나요?,계절을 좋다 무엇,계절 좋다 무엇,계절 좋다,어떤 계절 좋아하다 ?
나 가을 좋다 하늘 깨끗하다 빨갛다 잎 멋있다 ., 맑은 하늘과 단풍이 멋진 가을이 좋습니다.,0,가을 하늘이 맑고 잎이 매우 멋있습니다.,가을이 되면 하늘이 환하게 보인다,가을이 정말 좋아서 온 천장이 아름답게 보인다,가을이 새면 온 천지가 아름답게 빛난다,나는 가을의 좋은 하늘과 빨갛고 잎이 멋있어.,햇빛  온도올라가다 바람 가을 .,하늘  단풍 아름답다 가을 나,하늘 하다 바람 아름답다 가을 좋다,하늘 하다 바람 가을 좋다,맑은 하늘 단풍 멋지다 가을 좋다 .
나 눈 겨울 좋다 ., 나는 눈 내리는 겨울이 좋습니다.,0,대설 매우 좋습니다.,겨울이 좋다,나는 눈이이 좋다,나는 눈이이 좋다,나 눈 겨울이 좋아,눈내리다 춥다 얼음 좋다 .,나 눈 눈 겨울 좋다,나 눈 내리는 겨울 춥다 좋다,눈 리다  계절 춥다 좋다,나 눈 내리는 겨울 좋다 .
한국 계절 각각 멋있다 모두 좋다 ., 우리나라의 사철은 나름대로 운치 있어 모두 좋습니다.,0,우리나라는 대체로반대로 매우 좋습니다.,한국도은 매우 멋있다,한국인은은 모두가 좋다,한국인은들은 모두 건강하고 좋다,한국의 계절은 각각 멋있어서 모두 좋아.,우리 나라철 운치 있다 모두 좋다 .,한국 사 사철 나름대로 운치 있다 모두 좋다,한국  사철 나름대로 운치 있다 모두 좋다,한국 사 사철 나름대로 운치 있다 모두 좋다,우리나라 사철 나름대로 운치 있다 모두 좋다 .
하늘 구름 비 아마 ., 하늘이 흐린 걸 보니 비가 올 모양이에요.,0,하늘이 흐리고 비가 내리겠습니다.,하늘에서 비가 올 것 같아요.,하늘에서 비가 올 것 같아요.,구름에 비가 올 것 같아요.,하늘에서 비가 올거야,구름 지도 비내리다 올것이다 어디 지도 .,하늘 흐 흐리다 비 오다,하늘 흐리다 보다 비 같다,하늘 흐리다 비 같다 아마,하늘 흐리다 보다 비 오다 모양 .
우산 미리 준비 부탁 ., 우산을 미리 준비하세요.,0,우산 미리 준비하여 주시기 바랍니다.,우산을 준비하겠습니다.,우산 미리 준비해주세요.,우산 미리 준비해주세요.,우산 미리 준비 부탁해.,미리 준비 준비 우산을 미리 준비 .,우산 미리 준비,우산 미리 준비,우산 미리 준비,우산 미리 준비하다 .
날씨 춥다 옷 옷이 두껍다 입다 부탁 ., 날씨가 추우니까 옷을 두둑하게 입으세요.,0,한파로 인해 옷차림새를 더욱 얇게 하여주시기 바랍니다.,날이 추우니 옷이 두껍지 말고 입어,추우니까 의복이 두껍게 입어,추우니까 옷이 두껍게 입어줘,날씨가 추워서 옷 옷이 두꺼운 거 입어줘요,날씨 하다 꽃 옷 두껍다 입다 왜 오늘 날씨 심하다 춥다 .,춥다 옷 두둑하게 입다,날 춥다 옷 두둑하다 입다,날 춥다 옷 두둑하다 입다,날씨 추우다 옷 두둑하다 입다 .
가다 어느 곳 ?, 지금 어디에 가요?,1,금일 서구 일부 고압선로 누전. 통행 시 주의 바랍니다.,어느 곳이 길인가요?,어디서 내려,어디서 가,가는 곳은 어디에요?,지금 어디 어디 모레 뒤  글 .,지금 어디 곳,지금 곳 곳,지금 곳 곳,지금 어디 가다 ?
책 읽다 집 가다 중 ., 도서관에 가고 있어요.,0,현재 독옥을 지나는 독자가 계십니다.,책을 읽서 집에 갔다,책을 읽기 위해 집에 갔다,책을 읽르고 있어 .,책을 읽러 집에 갔는데 중이야.,글 도서관다 장소  도서관 갔다오다 .,도서관 가다 가다,읽다 집 가다,읽다 집 가다,도서관 가다 가다 있다 .
책 읽다 집 가다 왜 ?, 도서관에는 무슨 일로 가나요?,1,책 읽 정독. 가급적 대중교통을 이용하시기 바랍니다.,책을 읽다가 집에 와 왜 ?,왜 책을되지 않아?,왜 책을아닌데 왜 집에 와아니?,책을 읽러 집에 갔는데 왜?,도서관 장소 무엇 일하다 없다 회의 전화걸다 .,도서관  무엇 곳,읽다 집 곳 무엇,읽다 집 무엇,도서관 무슨 일 가다 ?
다음주 시험 때문에 공부 위하여 ., 다음 주가 시험이라 공부하러 갑니다.,0,다음주 시험이 매우 중요하오니 참고하여 공부하기 바랍니다.,다음주까지 어떻게 공부해야 할지 난감하다,다음주에 공부하기 위해 .,다음주에 공부하기 위해 열심히 공부했다,다음주에 공부하기 위해요.,다음 주 시험 공부하러 가다 왜 다음 주 시작 글 시험 공부하러 갔다 .,다음 주 날 시험 공부 가다,다음 주 시험 보다 공부 가다,다음 주 시험 보다 공부 가다,다음 주가 시험 공부 가다 .
당신 일 무엇 ?, 무슨 일 하세요?,1,[김상중 노동부 차관],당신 일은 뭐하고 있나요?,당신한테 뭐 하고 있어?,당신은 무슨 있나요?,당신이 하는 일 뭐야?,글 글치다 일하다 없다 어디 외국 다니다 하다 .,일하다 있다,일 무엇,일 무엇,무슨 일 하다 ?
나 농인 협회 수화 통역 사람 ., 농아인협회에서 수화통역사로 일합니다.,0,[나농인 협회] 수화통역. corona.jeju.go.kr/intro_gb.jsp,나농인협회 수화통역입니다.,우리 농 수화 통역 사람이 왔어요.,우리 농은 수화 통역사를 쓰고 있다,나는 농인 협회 수화 통역 사람입니다.,농아인 협정 수화 통역 일하다 일하다 .,농아인협회 수화통역,농아인협회 수화 통역 일하다,농아인협회 수화 통역 일하다,농아인협회 수화통역사 일하다 .
수화 통역 사람 일 무엇 ?, 수화통역사는 무슨 일을 하나요?,1,금일 수화통역.,수화 통역을 맡은 사람은 어떤 사람인가요?,수화 통역 일은 무엇에 있습니까?,수화 통역사는 뭐에 있습니까?,수화 통역하는 사람 일은 뭐에요?,수화 통역사는 무슨 일하다 중 .,수화  통역  어디  곳,수화  통역  일  무엇,수화  통역  일  무엇,수화통역사 무슨 일 하다 ?
농인 청인 대화 돕다 사람 ., 농인과 청인의 의사소통을 지원합니다.,0,농인·축산물 보호와 청인 대면조사로 인한 피해를 예방하기 위하여 돕습니다.,농부는 청인들을 도와주다,청각 대화를 도와주다,청각 대화를 도와줄 사람이 있어요,청인은 대화하는 것을 도와주는 사람.,농부 청 뜻 통일 돕다 .,농인 청인 의사소통 지원,농인 사람 의사소통  지원,농인 사람 의사 소통  지원,농인 의사소통 지원하다 .
숙제 끝 ?, 과제 다 했니?,1,숙제를 숙 숙 숙 숙 숙 숙 숙 숙 숙 . .,숙제가 끝났나요?,숙제가 끝났니?,숙제를 끝났어,숙제 끝났어?,과제 무엇 했니?,과제 완료다 했니,과제,과제 하다,과제 다 하다 ?
숙제 무엇 ? 아이쿠 잊다 ., 과제라니? 아이쿠. 깜빡 잊고 있었어.,0,아이쿠 잊고 있습니다.,숙제가 무엇인지 잊어버렸다,숙제가 무엇인지 잊어버렸다,숙제가 무엇인지 잊어버렸다,숙제 뭐야? 아이쿠 잊어버렸어.,과제 무엇 깜빡 잊다 어디 글 글 글 .,잊다 잊다,과제 잊다,과제 잊다 듣다 못하다,과제 잊다 있다 .
미래 원하다 희망 무엇 ?, 장래희망이 무엇인가요?,1,"미래가 희망이 있습니다. 현재로써 희망이 있다면, 꿈꿔온 것을 이루겠습니다.",커서려면 어떻게 가나요?,커서 희망이 있나요?,커서 희망이 있을까,미래가 희망은 뭐에요?,장래희망 무엇 물고기 잡다 무엇  장래희망 무엇 .,미래희망이 무엇,미래 꿈 미리 계약 무엇,미래 꿈 미리 계약 무엇,장래희망 무엇 ?
나 유치원 교사 원하다 ., 나는 유치원선생님이 되고 싶어요.,0,유치원 지원을을 원합니다.,유치원 교사 싶어,나는 유치에 교사하고 싶다,나는 유치을 교사하고 싶다,나는 유치원 교사를 원해.,나는 유치원선생님 되고 싶다 왜  유치원 지시 지도 선생 .,나 유치원 선생님 원하다,유치원 선생님다 원하다,유치원 선생님다 원하다,나 유치원선생님 되다 싶다 .
나 아기 좋아하다 ., 어린이들을 좋아하거든요.,0,아기 엄마 좋아하세요.,나는 아 좋아해,나는 아아기를 좋아한다,나는 아 좋아하다,나는 아 아기를 좋아해,어린이들을 좋아하다 첫번째 글 글 .,어린이  좋다  글 읽다,어린이 집 좋다,어린이 책 좋다,어린이 좋아 좋아하다 .
당신 잘 어울리다 ., 당신에게 잘 어울리는 거 같아요.,0,[김도라 기자  ]  잘 어울리네.,잘 어울어,당신과 잘 어울리네요.,당신과 잘 어울리네,당신에게 잘 어울렸어.,글 글다  깨끗하다 변환기 깨끗하다 옷 .,당신 얼굴 어울리는 남자,당신 잘 어울리는 사람,당신 잘 어울리는 사람,당신 잘 어울리다 같다 .
내일 여자 친구 생일 ., 내일이 여자친구 생일이에요.,0,내일 여자 친구의 생일입니다.,내 여자 친구 생일날 축하해,내일 여자 친구 생일이 있다,내 여자 친구가 생일 .,내일은 친구의 생일이에요.,내일 내일 여자 친구 생일 축하하다 .,여자친구 생일 오늘,오늘 여자 여자 생일,내일 여자 여자 생일,내일 여자친구 생일 .
선물 준비 끝 ?, 선물은 준비했나요?,1,[행정특별자리안내] corona.seongnam.jsp,선물은 준비하였습니다.,선물을 준비 준비했어,선물을 준비 준비했어,선물 준비 준비 다 했어?,선물 준비 준비 왜  선물 준비 .,선물 준비다,선물 준비,선물 준비,선물 준비 하다 ?
준비 아직 . 좋은 선물 무엇 ?, 아직 준비를 못했어요. 뭐가 좋을까요?,1,준비하지니다. 좋은 선물은 준비하기 전까지 많이 먹는 방법입니다.,준비 아직 아직 많이 이르다,아직 준비 안 했나요?,아직 준비 안 했나요?,준비했한 좋은 선물 뭐에요?,준비 아직 아직 못하다 무엇 좋을까요?,준비 아직하다 무엇,준비 아직,준비 아직,준비 못하다 무엇 좋다 ?
꽃 또 화장품 어때 ?, 꽃과 화장품은 어때요?,1,꽃다운 화장품이 어때요?,꽃이 뭐 해?,꽃이 뭐 어때?,꽃이 뭐예요?,꽃보다 화장품 어때?,꽃 꽃 화장품 어림잡다 .,꽃  화장품  어때,꽃  화장품  곳  어때,꽃  화장품  어때  곳,꽃과 화장품 어떻다 ?
동생 살다 잘 ?, 동생은 잘 지내고 있나요?,1,동생들과동거녀와 함께 산부인과 검진 받으시기 바랍니다.,동생이 잘 지내고 있다,동생은 잘 살아?,동생은 잘 살아?,동생이 잘 살아?,동생 잘 잘 지내다 .,동생 잘 잘 지내고 있다,형제 아래 잘 살다,형제 아래 잘 살다 계속,동생 잘다 지내다 있다 ?
진동 시계 선물 주다 해보다 ?, 진동알람시계를 선물해 주는 건 어떄요?,1,진동 시계 선물 받았습니다. 가격은 밝히지 않았지만 알림.,시계를 분실하였습니다.,진동 선물을 주세요.,시계를 선물을 주면 돼봐,진동 시계를 선물로 주실래요?,진동 알람 시계 어림잡다 왜 진동 깨지다 시계 .,진동알람 시계  선물  받아오다  방법,시계 받다 남자 시계 지숫자,진동 알람 시계 선물  어때,진동알람 시계 선물 주다 어때 ?
원하다 물건 무엇 ?, 찾으시는 물건이 있나요?,1,원하지 물건은 무엇일까요?,어떤 것이 갖고 싶어,원하고 물건은 어디에 있습니까?,원하고 물건은 어디에 있나요?,원하는 물건 뭐에요?,찾다 물고기 있다 글 글 물건 여러가지 .,물건 있다,물건 있다,물건 있다,찾다 물건 있다 ?
우선 구경 보다 ., 우선 둘러볼게요.,0,우선순 파도를 따라잡은 후 각 지역을 지나는 차량들의 우선순위를 정하겠습니다.,먼저 가서 보고 싶어,우선으로 보고 .,우선으로 보고 .,우선적으로 구경부터 보자.,북쪽 알아 둘러보다 무엇 제일 첫번째 .,우선 둘러 둘러보다,눈 빠르다  보다  곳  생각,눈 나타나르다  곳  우선,우선 둘러보다 .
이건 구두 마음에 들다 . 270 주세요., 이 구두가 마음에 들어요. 270사이즈 주세요.,0,금일 270번의 구두 고장으로 마음에 들지않습니다.,이건 구두 구두인데 마음에 드세요?,이건 구두주세요.,이건 구두주세요.,이건 구두심이 마음에 드네요. 270 주세요.,구두 마음에 마음에 들어 270 사이즈 270 사이즈 .,구두 마음에다 270사이즈 주세요,구두 마음에다 270사이즈 주세요,구두 마음에 들어요. 270사이즈,이 구두 마음 들다 270사이즈 주다 .
미안 270 바닥나다 ?, 죄송합니다. 270사이즈는 다 팔리고 없습니다.,0,270 바닥을 지나는 차량은 안전에 유의하시기 바랍니다.,270 바닥인가요?,270 바닥났어,270 바닥이지?,270 바닥났어?,270 지시 팔리다 없다 .,270사이즈 팔리다 없다,270이즈 팔리다 없다,270사이즈 팔리다 없다,270사이즈 다 팔리다 없다 .
천안 부터 대전 까지 가장 빠르다 방법 무엇 ?, 천안에서 대전까지 가는 가장 빠른 방법은 무엇인가요?,1,천안에서 대전까지 빠르기는 모두 비슷합니다.,천안으로터 대전 까지 어떻게 가나요?,천안까지까지 어떻게 가나요?,천안 부까지 어떻게 가나요?,천안에서 대전까지 가장 빠를 방법은 뭐에요?,천안 대전 대전 까지 빠르다 길 무엇 .,천안  가다  방법,천안  가다 방법,천안  가다  방법,천안 대전 가다 가장 빠르다 방법 무엇 ?
KTX 비싸 ?, KTX는 비싸지 않나요?,1,KTX열 비싸게 나타나는 기종입니다.,KTX가 비싸다,KTX는 비싸?,KTX는 비싸세요?,KTX는 너무 비싼가요?,KTX 비싸다 왜  코로나걸리다 북쪽 LCD 보다 높다 .,지하철  비싸다,지하철  비싸다 아니다,KTX 비싸다,KTX 비싸다 않다 ?
농인 50% 할인 도움 받다 조금 괜찮다 ., 농인은 50% 할인이 되기 때문에 부담이 덜합니다.,0,농축 50% 할인해제/ 농축산물 피해예방 등 조금은 보온조치바람.,농부는 50% 할인 받아서 조금 괜찮아,농인은 할인 도움을 받았더니 조금 괜찮아 보인다,농인 할인 도움을 받았는데 조금 괜찮았다,농인 50% 할인 도움을 받아서 조금 괜찮아.,밭 사람 50% 할인이 가능 높다 부담 덜다 왜  밭 북쪽 지도 사람 50% 할인이 .,농인 50% 할인 되다 부담 덜다,농인 50% 할인 되다 부담 덜다,사람  할인 되다 부담 덜다,농인 50% 할인 되다 부담 덜하다 .
여름 방학 계획 무엇 ?, 이번 여름방학 계획이 어떻게 되나요?,1,"여름방학 계획. 학력 및 학점 관리실시, 방학 동선 파악 등 학기별 학점 관리 예정입니다.",여름 방학 계획은 무엇 ?,여름에 어떻게 방학하나요?,여름에 어떻게 보내나요?,여름 방학 계획이 뭐에요?,오늘 여름방학 계획 무엇 오늘 여름방학 계획 .,여름방학 계획 어떻게,이번 여름방학 계획 무엇,이번 여름방학 계획 무엇,이번 여름방학 계획 어떻게 되다 ?
친구 함께 자전거 여행 결정 ., 친구들과 함께 자전거 여행을 하기로 했어요.,0,금일 자전거 여행을 계획하시는 분들은 가까운 보건소 예약 후 이용하시기 바랍니다.,친구와 자전거를 타고 가기로 했습니다.,친구들과 함께 여행하기로 결정했다,친구들과 자전거 여행하기로 결정했다,친구와 함께 자전거 여행을 결정했다.,글 글두내리다  친구 함께 자전거 여행 계획 .,친구 자전거 자전거 타다,친구 함께 자전거 여행 하다,친구 함께 자전거 여행 하다,친구 자전거 여행 하다 약속하다 .
여행 목적 어느 곳 ?, 어디로 가나요?,1,여행객에서는 여행을 떠나시기 전 반드시 확인바랍니다.,목적지는 어디에 있나요?,여행 목적 어디에 있습니까?,여행 목적 어디에 있나요?,여행 목적 어디에요?,어디로  .,가다 ,어느 곳 가다,어느 곳 가다,어디 가다다 ?
서울 출발 부산 까지 ., 서울에서 출발하여 부산까지 갑니다.,0,서울 출발 부산까지 .,서울 출발 가려면 어떻게 가나요?,서울 출발 출발 부산까지 .,서울 출발 출발 부산까지 .,서울 출발 출발 부산까지요.,서울 시작 시작 부산 까지 KTX 출발 .,서울 출발 목적 부산 가다,서울 곳 곳 가다,서울 곳 출발 부산 가다,서울 출발 부산 가다 .
운전 가능 ?, 운전할 수 있어요?,1,운전면 수칙을 준수하시기 바랍니다.,운전할 수 있나요?,운전 할 수 있나요?,운전 할 수 있을까요?,운전 할 수 있어?,운전 가능다 자동차 .,운전 가능,운전 가능,운전 가능,운전 가능 있다 ?
아직 배우다 중 그러나 주차 가장 어렵다 ., 아니요. 지금 배우고 있어요. 그런데 주차가 가장 어려운 것 같아요.,0,"아직 시행지지 않은 교육용 차량, 아직 사용하지 않은 차량은 우회하여 주시기 바랍니다.",아직 배운 안 배운 사람이지만 쉽게 가르쳐서 주지는 않는다,아직 모르는하지,아직 모르는하지 .,아직 모르는 않은 부분이 있어서 주차 제일 어려웠어.,지금 가르다 중 주차가 제일 어렵다 자동차 .,지금 배우고 중에 그런데 주차가 어렵다,지금 배우다 중에 주차 쉽다 아니다,지금 배우 배우다 중에 주차가 어렵다,지금 배우다 있다 주차 어렵다 같다 .
나 같다, 나도 그랬어요.,0,[상라북도청] 나침반이 붕괴되었으니 참고하시기 바랍니다.,같다,나는 나와,나는 나와 같다,나 같아 같아,글로스치다 지도 북쪽 이해 부탁 .,나 너,나,나 글,나도 그렇다 .
합격 꼭 화이팅 ., 꼭 합격하시길 바랍니다.,0,금일 합격자 발표. 홈페이지 및 블로그 참고바랍니다.,합격하셨 꼭 화이팅!,합격해서 꼭 화이팅!,합격해서 꼭 화이팅!,합격 합격 꼭 화이팅!,꼭 합격다 글 솜표시 .,꼭 합격하시다 부탁,좋다 다  합격  부탁,꼭 합격다,꼭 합격하다 .
소화 안돼 머리 아프다 ., 소화가 잘 안 되고 머리가 아파요.,0,소화되지 잘 되지 않는다.,소화 안돼 안돼요,소화가 안되네요.,소화가 안되네요.,소화가 안되네요.,소화가  넣다 안 되고 머리 아프다 왜  소화가 안 되고 .,소화 잘 안 되고 머리 아프다,소화 잘되다 머리 아프다,소화 잘되다 머리 아프다,소화 잘 안 되다 머리 아프다 .
병원 가다 오다 끝 ?, 병원에는 다녀왔어요?,1,병원 가다이 정체가 발생하였습니다. 일부 병원에서는 정체가 풀리기도 하였습니다.,병원에 갔었어,병원에 다녀러 갔다,병원에 다녀보니 끝이 났다,병원에 데려다 주실 건가요?,병원 장소 다녀오다 왜 병원 장소 몰리다 .,병원 가다 차내리다,병원 가다 오다,병원 가다다,병원 가다다 ?
2시 수화 통역 사람 만나다 약속 ., 2시에 수화통역사와 만나기로 했어요.,0,"02시00분 현재, 수화통역인을 만나러 가기 바랍니다.",2시 수 수화통역을 만나다,1시에 수화통역 사람을 만나다,1시에 수화통역인을 만나다,2시 수 수화 통역 사람과 만나기로 했어요.,새벽 2시 수화통역 만나다 못하다 무엇 오후 2시 .,수화  통역  만나다  2,수화  통역  만나다  중,수화  통역  만나다  중,수화통역사 만나다 약속하다 .
오늘 공부 쉬다 ., 이번 수업 휴강이래요.,0,현재 공부 공부하여 휴식하시기 바랍니다.,오늘은 공부 쉬다,오늘은 공부를 쉬고싶다,오늘은 공부를 쉬다,오늘 공부 쉬어요.,오늘 수업 휴일 날 있다 글 붙이다 지면 스와이프 .,오늘 수업 휴강,오늘 수업 휴강,오늘 수업 휴강,이번 수업 휴강이다 .
왜 ?, 왜요 ?,1,[김안전행정],왜요?,왜?,왜 ?,왜??,왜 . 왜 .,왜,왜,왜,왜 ? ?
교사 맹장 수술 때문에 입원 중 ., 교수님께서 맹장수술을 하고 입원해 계신대요.,0,[서울광역시청]  교사 맹장수술로 인해 입원 중입니다. 「,교사가이 때문에 입원했다,교사가 맹장 수술 때문에 입원하고 있어,교사가 맹장 수술 때문에 입원했어요.,교사가 맹장 수술 때문에 입원 중이야.,교수  맹장수술을 깨끗하다 감다 입원 .,교수 몸 맹장수술 하고 입원,대학 병원 맹장수술 하다 입원,교수님 장 수술 하다 입원,교수님 맹장수술 하다 입원하다 있다 .
함께 병 위로 출발 ., 우리 함께 병문안 갑시다.,0,현재 병 병상에서 출발하여 안전한 곳으로 이동하시기 바랍니다.,함께 병을 피해 가주세요.,함께 병 위로 출발해봅시다,함께 출발을 출발해봅시다,함께 병 위로 출발합니다.,병문다 하지마 병문안 갑시다 .,우리 함께 병문안 가다,우리 2 함께 병 문안 가다,우리 2 함께 병 문안 가다,우리 함께 병문안 가다 .
어제 치아 아프다 데굴데굴 구르다 잠 못 이루다 ., 어제 치통 때문에 밤새 잠을 한숨도 못 잤어요.,0,어제 발아리가 아프면서 데굴데굴 구르다가 잠 못 이루겠습니다.,어제 치아에 문제가 생겨서 잠을 못잤다,어제 치아로 잠을 못잤어,어제 치굴에 갇혀 잠을 못잤어요.,어제 치아 아프면서 데굴데굴 구르면서 잠을 못 잤어.,어제 치통 원인 밤새 잤다 한숨도 못잤다 .,어제 밤통 때문에 밤 새 잠을 자다 못하다,어제 치통 때문에 밤 새 잠을 한숨 못 잤다,어제 치통 때문에 밤 새 잠 한숨 못 자다,어제 치통 때문에 밤새 잠 한숨 못 자다 .
저런 빨리 병원 가다 진찰 보다, 저런.. 얼른 병원에 가서 진찰을 받아보세요.,0,금일 응급실에서 신속한 진료처리가 이루어지고 있습니다.,빨리 병원에주세요.,저쪽 진찰 좀 들렀다가주세요.,빨리 병원에길래 진찰 받았다,빨리 병원에사를 찾아 진찰 보세요.,병  병원 장소 코로나검사 부탁 왜  오늘 .,얼른 병원 가다 진찰 부탁,병원 가다 받다,너 저기 아프다  진찰  받다  부탁,얼른 병원 가다 진찰 받다 .
무엇 보다 건강 가장 중요 ., 무엇보다 건강이 제일 중요합니다.,0,건강관 특히나나나나 건강이 가장 중요합니다.,건강을 가장 가장 중요하다,무엇보다 건강 건강이 중요하다,무엇보다 건강 건강이 중요하다,뭐 보는 건강에 가장 중요해.,몸 건강 제일 최고다 무엇 무엇  몸 건강 .,건강 제일다,건강 중요,건강 중요,무엇보다 건강 중요하다 .
밥 약속어기다 하지마 꼭 꼭 밥 적당히 운동 건강 도움받다 ., 식사를 거르지 말고 꼬박꼬박 챙겨먹고 적당한 운동을 하면 건강에 도움이 될 거 에요.,0,"밥은 많이 먹어야 하고 충분한 휴식도 취합니다만, 꼭꼭 밥만 먹는 것으로 건강관리에 도움을 받으시기 바랍니다.",밥 약속기다 하지 말고 꼭꼭 밥 챙겨주세요,밥 약속기우니 잊지 말고 운동해라,밥 약속기우니 말고 꼭 밥으로 건강 도와받아야,밥 약속기우지 말고 꼭꼭 밥으로 건강을 도와야 해.,밥 먹다 하지마 꼬박꼬박 챙겨 적당한 운동 몸 건강 .,먹다 하지마 적당한 운동 필요,먹다  먹다  적당한 운동  건강 도움,먹다 밥 그릇 속에 담긴 밥을 나타내는 동작 꼬박꼬박 챙겨먹다 적당한 운동 가능,식사 거다 꼬박꼬박 챙겨먹다 적당한 운동하다 건강 도움 되다 .
